EPE  List of violations found by TARA screening [TARA Ver 2301.2.0.0 64-bit - Fri Jul 21 13:12:24 2023]

 Loadflow Case: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\22SSWG_2025_SUM1_U1_04-study.raw
 Study Data File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\SUB.sub
 Contingency File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\AllERCOTcontingencies.con (total 28174 contingencies)
 Monitor File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\MON.mon
 Exclude File: not provided
 Pre/Post Contingency PAR Adjustment: Adjusted/Fixed

 6123 violations for snapshot 22SSWG_2025_SUM1_U1_04-study.raw
Index of Constraint, Monitored Facility                                    , Cont ID, Cont Name                                                      ,Type,   Rating,   Flow MW, Loading%, Head-Room, TotRedis,# of Harmer Up,# of Helper Down,# of External Harmer Up,Dfax Transfer,MW Transfer,MW Impact,Harmer Type,Harmer Max MW,Harmer Base MW,Harmer Bus#,BusName     ,Harmer Machine ID,Harmer Dfax Swing Ref,AreaName    ,ZoneName    ,Helper Type,Helper Max MW,Helper Base MW,Helper Room To Move Down MW (May have negative Pmin),Helper Bus#,BusName     ,Helper Machine ID,Helper Dfax Swing Ref,AreaName    ,ZoneName    ,
6027,994967 21INR0428S2  34.5  999639 NABCG2_MPT2  34.5  1  ,    0,Base Case ,Base Case,    167.0,     -0.0,    -0.00,    167.0,      66.8,   1,   1,   0,   1.00000,    140.91,    140.91,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   1.00000,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00000,,,
6028,999639 NABCG2_MPT2  34.5  996967 21INR0428D2   345  1  ,    0,Base Case ,Base Case,    167.0,     -0.1,    -0.04,    167.1,      66.9,   1,   1,   0,   1.00000,    140.91,    140.91,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   1.00000,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00000,,,
6029, 44500 OBRIEN_B345A  345  999733 111575        138  A1 ,12353,DB_ID_20012,P2,   1000.0,    398.9,    39.89,    601.1,      70.3,   1,   1,   0,   0.01575,    140.91,      2.22,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.05809,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,   0.04235,,,
6030,999733 111575        138   44510 OBRIEN_B138A  138  A1 ,12355,DB_ID_20019,P2,   1000.0,    398.8,    39.88,    601.2,      79.1,   1,   1,   0,   0.01575,    224.79,      3.54,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.05809,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,   0.04235,,,
6031, 47050 BRAYS__S09_8  138   47150 H_O_C___B138  138  09 ,12261,DB_ID_19680,P2,    561.0,    223.1,    39.77,    337.9,      80.3,   1,   1,   0,   0.01636,    140.91,      2.31,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.12273,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,   0.10637,,,
6032,999733 111575        138   44510 OBRIEN_B138A  138  A1 ,12353,DB_ID_20012,P2,   1000.0,    398.7,    39.87,    601.3,      84.5,   1,   1,   0,   0.01575,    224.79,      3.54,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.05809,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,   0.04235,,,
6033,    64 MILANO        138    3683 MINERVA1_8    138  1  ,27279,DB_ID_22279,P7,    214.0,     84.7,    39.59,    129.3,      86.0,   1,   1,   0,   0.01028,    140.91,      1.45,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.00517,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00511,,,
6034,    64 MILANO        138    3683 MINERVA1_8    138  1  ,27927,DB_ID_36610,P7,    214.0,     84.7,    39.59,    129.3,      86.0,   1,   1,   0,   0.01028,    140.91,      1.45,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.00517,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00511,,,
6035,  1907 VENUS_N5      345   11885 EVRMNTIE3_5   345  1  , 3985,DB_ID_47391,P1,   1072.0,    426.9,    39.82,    645.1,      86.4,   1,   1,   0,   0.02227,    140.91,      3.14,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.00285,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.01942,,,
6036, 46510 TOMBAL__B138  138   46511 TOMBAL_T66_8  138  66 , 1628,DB_ID_17520,P1,    382.0,    151.8,    39.74,    230.2,      91.7,   1,   1,   0,   0.01075,    140.91,      1.51,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.00748,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00327,,,
6037,  1907 VENUS_N5      345   11902 BRITTNRD2_5   345  1  ,28098,DB_ID_45537,P7,   1792.6,    714.9,    39.88,   1077.7,      98.9,   1,   1,   0,   0.02150,    140.91,      3.03,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.00281,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.01868,,,
6038,993687 21INR0203A    345    3687 BELL_E_5      345  2  ,19322,DB_ID_40777,P5,   1631.0,    644.8,    39.53,    986.2,     104.1,   1,   1,   0,   0.07333,    224.79,     16.48,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.04494,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.02838,,,
6039, 44512 OBRIEN73T2_8  138   44143 CLODIN73T3_8  138  73 ,12027,DB_ID_18853,P2,    525.0,    208.9,    39.79,    316.1,     105.0,   1,   1,   0,   0.01068,    224.79,      2.40,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.05291,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,   0.04223,,,
6040,995967 21INR0428S1  34.5  999638 NABCG2_MPT1  34.5  1  ,    0,Base Case ,Base Case,    263.0,     -0.0,    -0.00,    263.0,     105.2,   1,   1,   0,   1.00000,    224.79,    224.79,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   1.00000,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00000,,,
6041,999638 NABCG2_MPT1  34.5  997967 21INR0428D1   345  1  ,    0,Base Case ,Base Case,    263.0,     -0.1,    -0.04,    263.1,     105.3,   1,   1,   0,   1.00000,    224.79,    224.79,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   1.00000,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00000,,,
6042, 46510 TOMBAL__B138  138   46511 TOMBAL_T66_8  138  66 , 2077,DB_ID_18052,P1,    382.0,    151.5,    39.66,    230.5,     112.6,   1,   1,   0,   0.01161,    140.91,      1.64,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.01533,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,   0.00372,,,
6043,  1929 CENTURY1_5    345    1918 SHRYAUTO1_5   345  1  ,15002,DB_ID_37441,P4,   1072.0,    427.5,    39.88,    644.5,     120.9,   1,   1,   0,   0.01036,    224.79,      2.33,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.00082,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.00955,,,
